time_s,step,observation,action_pre_scale
1772115495.271025,2020,"[0.0009304501581937075,-0.0003603117074817419,0.006562890950590372,-0.012783173471689224,-0.019174760207533836,-0.044741105288267136,-0.02310352958738804,-0.008913765661418438,-0.9996933341026306,0.03375783935189247,-0.050636760890483856,-0.03107256069779396,-0.027236439287662506,-0.19756007194519043,0.004219729918986559,0.00613778829574585,0.025701992213726044,0.03912840038537979,0.07595513761043549,0.11872786283493042,-0.0017262531910091639,0.056410256773233414,0.15311355888843536,0.008058608509600163,-0.07252747565507889,0.2808302938938141,0.1953601986169815,0.008058608509600163,-0.15311355888843536,-0.1369963437318802,0.12087912112474442,0.18315018713474274,-0.02442002482712269,-0.2824426591396332,0.07562343776226044,0.35201191902160645,0.7705374956130981,0.5741294622421265,-0.12400373816490173,1.7680875062942505,-0.24059584736824036,-0.017019247636198997,-0.3240755498409271,-0.5038606524467468,0.10047087073326111,-0.0,0.0,0.0]","[-0.3381398022174835,0.05553389713168144,0.34915074706077576,0.7452827095985413,0.5997076630592346,-0.17804181575775146,1.7130180597305298,-0.18760927021503448,-0.0029344484210014343,-0.256975382566452,-0.47989118099212646,0.10049785673618317]"
1772115495.287940,2021,"[0.0012768429005518556,0.0008507075835950673,0.006154125556349754,-0.012783173471689224,-0.019174760207533836,-0.044741105288267136,-0.02310352958738804,-0.008913765661418438,-0.9996933341026306,0.03375783935189247,-0.04564980790019035,-0.0295381098985672,-0.028003662824630737,-0.18279100954532623,0.013234607875347137,0.00613778829574585,0.018796980381011963,0.04104646295309067,0.078640416264534,0.13234607875347137,-0.01381002552807331,-0.04029304161667824,0.16923077404499054,-0.024175824597477913,0.1369963437318802,0.7081807255744934,0.4761904776096344,0.008058608509600163,-0.1369963437318802,0.10476190596818924,0.04029304161667824,0.5982906222343445,-0.5128205418586731,-0.3381398022174835,0.05553389713168144,0.34915074706077576,0.7452827095985413,0.5997076630592346,-0.17804181575775146,1.7130180597305298,-0.18760927021503448,-0.0029344484210014343,-0.256975382566452,-0.47989118099212646,0.10049785673618317,-0.0,0.0,0.0]","[-0.3848394751548767,0.027353590354323387,0.3464435338973999,0.7104927897453308,0.6259720325469971,-0.22496922314167023,1.6652170419692993,-0.13171367347240448,-0.007112028077244759,-0.20226997137069702,-0.500877320766449,0.11638998985290527]"
1772115495.309247,2022,"[0.0012768429005518556,0.0008507075835950673,0.006154125556349754,-0.002130528911948204,0.030892668291926384,-0.12250541150569916,-0.02310352958738804,-0.008913765661418438,-0.9996933341026306,0.033374227583408356,-0.042964521795511246,-0.028003662824630737,-0.02762005105614662,-0.1743515580892563,0.01898878440260887,0.00613778829574585,0.016111698001623154,0.0418136864900589,0.07902403175830841,0.13944289088249207,-0.021290455013513565,-0.008058608509600163,0.16923077404499054,0.21758241951465607,-0.12087912112474442,0.5738705992698669,0.3174603283405304,-0.024175824597477913,-0.16923077404499054,0.10476190596818924,0.1369963437318802,0.5006105303764343,-0.5128205418586731,-0.3848394751548767,0.027353590354323387,0.3464435338973999,0.7104927897453308,0.6259720325469971,-0.22496922314167023,1.6652170419692993,-0.13171367347240448,-0.007112028077244759,-0.20226997137069702,-0.500877320766449,0.11638998985290527,-0.0,0.0,0.0]","[-0.4355853796005249,-0.009953666478395462,0.3784904479980469,0.6742675304412842,0.6604541540145874,-0.25804322957992554,1.6378991603851318,-0.07896614074707031,-0.0055139437317848206,-0.17692431807518005,-0.545721709728241,0.14014394581317902]"
1772115495.327677,2023,"[0.0012768429005518556,0.0008507075835950673,0.006154125556349754,-0.002130528911948204,0.030892668291926384,-0.12250541150569916,-0.022720135748386383,-0.009009689092636108,-0.9997012615203857,0.03375783935189247,-0.039512015879154205,-0.025701992213726044,-0.02762005105614662,-0.16265138983726501,0.025318380445241928,0.00613778829574585,0.011508356779813766,0.04258091002702713,0.07979125529527664,0.14404623210430145,-0.026661019772291183,-0.024175824597477913,0.08864469081163406,-0.10476190596818924,0.04029304161667824,0.4029304087162018,0.29304030537605286,0.024175824597477913,-0.12087912112474442,0.15311355888843536,0.04029304161667824,0.2686202824115753,-0.3052503168582916,-0.4355853796005249,-0.009953666478395462,0.3784904479980469,0.6742675304412842,0.6604541540145874,-0.25804322957992554,1.6378991603851318,-0.07896614074707031,-0.0055139437317848206,-0.17692431807518005,-0.545721709728241,0.14014394581317902,-0.0,0.0,0.0]","[-0.48185738921165466,-0.033594850450754166,0.41592466831207275,0.6342018842697144,0.7017526030540466,-0.2820843458175659,1.6340817213058472,-0.020910948514938354,0.003975264728069305,-0.16619279980659485,-0.5885618329048157,0.1633104383945465]"
1772115495.347648,2024,"[0.0012768429005518556,0.0008507075835950673,0.006154125556349754,-0.002130528911948204,0.030892668291926384,-0.12250541150569916,-0.022720135748386383,-0.009009689092636108,-0.9997012615203857,0.033374227583408356,-0.03414145112037659,-0.02416754513978958,-0.02685282751917839,-0.15843166410923004,0.029921721667051315,0.00613778829574585,0.009973905980587006,0.04334813356399536,0.07979125529527664,0.15593819320201874,-0.0393202118575573,-0.024175824597477913,0.21758241951465607,-0.056410256773233414,-0.08864469081163406,0.12210012227296829,0.25641027092933655,0.056410256773233414,-0.056410256773233414,0.024175824597477913,0.07252747565507889,0.6471306681632996,-0.6593406796455383,-0.48185738921165466,-0.033594850450754166,0.41592466831207275,0.6342018842697144,0.7017526030540466,-0.2820843458175659,1.6340817213058472,-0.020910948514938354,0.003975264728069305,-0.16619279980659485,-0.5885618329048157,0.1633104383945465,-0.0,0.0,0.0]","[-0.5294208526611328,-0.04200293496251106,0.46215248107910156,0.5935349464416504,0.7471891045570374,-0.30274245142936707,1.6538547277450562,0.03072619065642357,0.024784918874502182,-0.16965213418006897,-0.6261112093925476,0.19180122017860413]"
1772115495.366994,2025,"[0.0012768429005518556,0.0008507075835950673,0.006154125556349754,-0.002130528911948204,0.030892668291926384,-0.12250541150569916,-0.022720135748386383,-0.009009689092636108,-0.9997012615203857,0.033374227583408356,-0.03145616501569748,-0.02263309806585312,-0.025318380445241928,-0.1599661111831665,0.03490867465734482,0.00613778829574585,0.00959029421210289,0.04449896886944771,0.07940763980150223,0.16840559244155884,-0.051787592470645905,-0.008058608509600163,0.008058608509600163,0.24981684982776642,0.12087912112474442,-0.14652015268802643,0.23199023306369781,-0.04029304161667824,0.056410256773233414,0.1369963437318802,-0.04029304161667824,0.41514042019844055,-0.32967033982276917,-0.5294208526611328,-0.04200293496251106,0.46215248107910156,0.5935349464416504,0.7471891045570374,-0.30274245142936707,1.6538547277450562,0.03072619065642357,0.024784918874502182,-0.16965213418006897,-0.6261112093925476,0.19180122017860413,-0.0,0.0,0.0]","[-0.5686532258987427,-0.029704753309488297,0.5211285352706909,0.5606873631477356,0.7939851880073547,-0.31751126050949097,1.6935268640518188,0.07848954200744629,0.06425054371356964,-0.18994447588920593,-0.6529301404953003,0.21883903443813324]"
1772115495.386979,2026,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.002130528911948204,0.030892668291926384,-0.12250541150569916,-0.022720135748386383,-0.009009689092636108,-0.9997012615203857,0.033374227583408356,-0.0295381098985672,-0.021482262760400772,-0.025318380445241928,-0.1622677892446518,0.03759395703673363,0.00613778829574585,0.009206682443618774,0.045649804174900055,0.078640416264534,0.17837949097156525,-0.06137789040803909,0.008058608509600163,0.12087912112474442,-0.04029304161667824,-0.08864469081163406,-0.10989011079072952,0.12210012227296829,-0.024175824597477913,-0.04029304161667824,0.08864469081163406,0.056410256773233414,0.5372405648231506,-0.5250305533409119,-0.5686532258987427,-0.029704753309488297,0.5211285352706909,0.5606873631477356,0.7939851880073547,-0.31751126050949097,1.6935268640518188,0.07848954200744629,0.06425054371356964,-0.18994447588920593,-0.6529301404953003,0.21883903443813324,-0.0,0.0,0.0]","[-0.6135369539260864,0.005370046943426132,0.5845141410827637,0.5417296290397644,0.8372800350189209,-0.321903795003891,1.7424782514572144,0.12182851135730743,0.11977759003639221,-0.22020211815834045,-0.6618444323539734,0.23640085756778717]"
1772115495.407220,2027,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.001065264455974102,-0.03195793181657791,-0.11398329585790634,-0.022720135748386383,-0.009009689092636108,-0.9997012615203857,0.033374227583408356,-0.02608560398221016,-0.01994781568646431,-0.024551155045628548,-0.16533666849136353,0.04066285118460655,0.00613778829574585,0.008823070675134659,0.04718425124883652,0.07748958468437195,0.18547631800174713,-0.06847470998764038,-0.008058608509600163,0.15311355888843536,0.29816851019859314,0.056410256773233414,-0.23199023306369781,0.24420024454593658,-0.008058608509600163,-0.04029304161667824,0.024175824597477913,-0.15311355888843536,0.4029304087162018,-0.34188035130500793,-0.6135369539260864,0.005370046943426132,0.5845141410827637,0.5417296290397644,0.8372800350189209,-0.321903795003891,1.7424782514572144,0.12182851135730743,0.11977759003639221,-0.22020211815834045,-0.6618444323539734,0.23640085756778717,-0.0,0.0,0.0]","[-0.6482822895050049,0.06898961216211319,0.645200788974762,0.5417683720588684,0.8718221187591553,-0.3039710521697998,1.7896630764007568,0.15710021555423737,0.21673689782619476,-0.2821049392223358,-0.6358231902122498,0.2457282394170761]"
1772115495.426928,2028,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.001065264455974102,-0.03195793181657791,-0.11398329585790634,-0.021378228440880775,-0.009776736609637737,-0.9997236728668213,0.033374227583408356,-0.0234003197401762,-0.01918059214949608,-0.024551155045628548,-0.1699400395154953,0.04526619613170624,0.00613778829574585,0.008439458906650543,0.04871869832277298,0.07672236114740372,0.19410757720470428,-0.0740370824933052,-0.07252747565507889,0.1369963437318802,0.10476190596818924,0.10476190596818924,-0.4029304087162018,0.34188035130500793,-0.024175824597477913,-0.056410256773233414,0.2014652043581009,-0.008058608509600163,0.622710645198822,-0.3663003742694855,-0.6482822895050049,0.06898961216211319,0.645200788974762,0.5417683720588684,0.8718221187591553,-0.3039710521697998,1.7896630764007568,0.15710021555423737,0.21673689782619476,-0.2821049392223358,-0.6358231902122498,0.2457282394170761,-0.0,0.0,0.0]","[-0.6681774854660034,0.14699959754943848,0.708450973033905,0.5614591836929321,0.8806514739990234,-0.28461575508117676,1.8120909929275513,0.18690718710422516,0.32214710116386414,-0.36415109038352966,-0.5890306234359741,0.23968259990215302]"
1772115495.448598,2029,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.001065264455974102,-0.03195793181657791,-0.11398329585790634,-0.021378228440880775,-0.009776736609637737,-0.9997236728668213,0.033374227583408356,-0.018029754981398582,-0.01572808250784874,-0.025318380445241928,-0.1749269813299179,0.052554816007614136,0.00613778829574585,0.008439458906650543,0.05217120423913002,0.07595513761043549,0.20619134604930878,-0.08151751011610031,0.008058608509600163,0.24981684982776642,0.28205129504203796,-0.10476190596818924,-0.29304030537605286,0.37851038575172424,-0.024175824597477913,-0.08864469081163406,0.23369963467121124,-0.008058608509600163,0.2808302938938141,0.07326007634401321,-0.6681774854660034,0.14699959754943848,0.708450973033905,0.5614591836929321,0.8806514739990234,-0.28461575508117676,1.8120909929275513,0.18690718710422516,0.32214710116386414,-0.36415109038352966,-0.5890306234359741,0.23968259990215302,-0.0,0.0,0.0]","[-0.6732646226882935,0.2055099755525589,0.7452523708343506,0.5988165736198425,0.8747285604476929,-0.27039197087287903,1.7990041971206665,0.2219589799642563,0.40741264820098877,-0.4439261853694916,-0.5397996306419373,0.23691801726818085]"
1772115495.467685,2030,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.001065264455974102,-0.03195793181657791,-0.11398329585790634,-0.021378228440880775,-0.009776736609637737,-0.9997236728668213,0.03375783935189247,-0.013426413759589195,-0.011891967616975307,-0.026469215750694275,-0.1774204522371292,0.056966353207826614,0.00613778829574585,0.008439458906650543,0.05562370643019676,0.07518791407346725,0.21463081240653992,-0.07691416889429092,0.04029304161667824,0.2659340798854828,0.34652015566825867,-0.04029304161667824,0.10989011079072952,0.02442002482712269,-0.024175824597477913,-0.024175824597477913,0.15311355888843536,-0.024175824597477913,0.37851038575172424,0.09768009930849075,-0.6732646226882935,0.2055099755525589,0.7452523708343506,0.5988165736198425,0.8747285604476929,-0.27039197087287903,1.7990041971206665,0.2219589799642563,0.40741264820098877,-0.4439261853694916,-0.5397996306419373,0.23691801726818085,-0.0,0.0,0.0]","[-0.6807384490966797,0.23029406368732452,0.7503605484962463,0.6440404653549194,0.854778528213501,-0.2636096477508545,1.7470585107803345,0.25235414505004883,0.4647108018398285,-0.49682363867759705,-0.48659610748291016,0.22648783028125763]"
1772115495.489921,2031,"[-0.0020759161561727524,0.001967407763004303,0.0060853371396660805,-0.001065264455974102,-0.03195793181657791,-0.11398329585790634,-0.021378228440880775,-0.009776736609637737,-0.9997236728668213,0.03375783935189247,-0.00498695345595479,-0.008055848069489002,-0.028003662824630737,-0.17511878907680511,0.05888441577553749,0.00613778829574585,0.008823070675134659,0.058692608028650284,0.07480430603027344,0.22268664836883545,-0.07729777693748474,0.024175824597477913,0.21758241951465607,0.5882784128189087,-0.378754585981369,0.1587301641702652,0.09768009930849075,-0.024175824597477913,-0.024175824597477913,0.3304029405117035,-0.024175824597477913,0.3663003742694855,0.1587301641702652,-0.6807384490966797,0.23029406368732452,0.7503605484962463,0.6440404653549194,0.854778528213501,-0.2636096477508545,1.7470585107803345,0.25235414505004883,0.4647108018398285,-0.49682363867759705,-0.48659610748291016,0.22648783028125763,-0.0,0.0,0.0]","[-0.680426836013794,0.22090789675712585,0.7252660989761353,0.6848652362823486,0.8313656449317932,-0.26573893427848816,1.6671090126037598,0.27249956130981445,0.4931732714176178,-0.5210115909576416,-0.44470474123954773,0.22216887772083282]"
1772115495.509098,2032,"[-1.9221970433136448e-05,0.0014145614113658667,0.005780892912298441,-0.006391586735844612,0.02556634694337845,-0.1257012039422989,-0.021378228440880775,-0.009776736609637737,-0.9997236728668213,0.03375783935189247,0.0,-0.004986953921616077,-0.029154496267437935,-0.17300893366336823,0.060227055102586746,0.00613778829574585,0.008823070675134659,0.06176150217652321,0.07480430603027344,0.22748181223869324,-0.07480430603027344,-0.07252747565507889,0.2014652043581009,0.5076923370361328,-0.024175824597477913,0.1587301641702652,0.09768009930849075,0.04029304161667824,0.04029304161667824,0.29816851019859314,-0.2014652043581009,0.13431014120578766,0.04884004965424538,-0.680426836013794,0.22090789675712585,0.7252660989761353,0.6848652362823486,0.8313656449317932,-0.26573893427848816,1.6671090126037598,0.27249956130981445,0.4931732714176178,-0.5210115909576416,-0.44470474123954773,0.22216887772083282,-0.0,0.0,0.0]","[-0.672187328338623,0.1975497603416443,0.7092108130455017,0.7116374373435974,0.7951422929763794,-0.27656111121177673,1.5715341567993164,0.2772357165813446,0.4969175159931183,-0.5282204151153564,-0.418356716632843,0.22479204833507538]"
1772115495.528367,2033,"[-1.9221970433136448e-05,0.0014145614113658667,0.005780892912298441,-0.006391586735844612,0.02556634694337845,-0.1257012039422989,-0.022432588040828705,-0.010159890167415142,-0.9996967315673828,0.03375783935189247,0.010741131380200386,0.0023016706109046936,-0.03145616874098778,-0.1670629382133484,0.0615696981549263,0.00613778829574585,0.008823070675134659,0.0640631765127182,0.07518791407346725,0.22805722057819366,-0.07461249828338623,0.008058608509600163,0.28205129504203796,0.5399267673492432,-0.3304029405117035,0.45177045464515686,0.07326007634401321,0.056410256773233414,-0.10476190596818924,0.36263737082481384,0.008058608509600163,-0.02442002482712269,0.10989011079072952,-0.672187328338623,0.1975497603416443,0.7092108130455017,0.7116374373435974,0.7951422929763794,-0.27656111121177673,1.5715341567993164,0.2772357165813446,0.4969175159931183,-0.5282204151153564,-0.418356716632843,0.22479204833507538,-0.0,0.0,0.0]","[-0.6568939685821533,0.16397333145141602,0.6768503189086914,0.7259647250175476,0.7661616802215576,-0.2935161888599396,1.475258231163025,0.2852083146572113,0.4880867302417755,-0.5227763652801514,-0.413442999124527,0.23404954373836517]"
1772115495.548137,2034,"[-1.9221970433136448e-05,0.0014145614113658667,0.005780892912298441,-0.006391586735844612,0.02556634694337845,-0.1257012039422989,-0.022432588040828705,-0.010159890167415142,-0.9996967315673828,0.033374227583408356,0.01649530790746212,0.007288624066859484,-0.03490867465734482,-0.14711512625217438,0.06463859230279922,0.0057541802525520325,0.008823070675134659,0.06828290224075317,0.07557152956724167,0.22786541283130646,-0.07442069053649902,-0.024175824597477913,0.2014652043581009,0.3142857253551483,-0.10476190596818924,0.6715506911277771,0.17094017565250397,0.024175824597477913,0.008058608509600163,0.29816851019859314,-0.024175824597477913,-0.0,-0.03663003817200661,-0.6568939685821533,0.16397333145141602,0.6768503189086914,0.7259647250175476,0.7661616802215576,-0.2935161888599396,1.475258231163025,0.2852083146572113,0.4880867302417755,-0.5227763652801514,-0.413442999124527,0.23404954373836517,-0.0,0.0,0.0]","[-0.6399704217910767,0.12729735672473907,0.635512113571167,0.7321619391441345,0.7313532829284668,-0.3120441734790802,1.3828436136245728,0.28737881779670715,0.46914270520210266,-0.5149744749069214,-0.4159897565841675,0.24200452864170074]"
1772115495.567170,2035,"[-1.9221970433136448e-05,0.0014145614113658667,0.005780892912298441,-0.006391586735844612,0.02556634694337845,-0.1257012039422989,-0.022432588040828705,-0.010159890167415142,-0.9996967315673828,0.033374227583408356,0.01994781382381916,0.011508353985846043,-0.03644312173128128,-0.13905927538871765,0.06272052973508835,0.0057541802525520325,0.008823070675134659,0.07020096480846405,0.07672236114740372,0.22556374967098236,-0.0740370824933052,0.04029304161667824,0.2014652043581009,0.08864469081163406,-0.07252747565507889,0.2686202824115753,-0.20757021009922028,-0.024175824597477913,0.08864469081163406,0.024175824597477913,-0.024175824597477913,-0.08547008782625198,-0.04884004965424538,-0.6399704217910767,0.12729735672473907,0.635512113571167,0.7321619391441345,0.7313532829284668,-0.3120441734790802,1.3828436136245728,0.28737881779670715,0.46914270520210266,-0.5149744749069214,-0.4159897565841675,0.24200452864170074,-0.0,0.0,0.0]","[-0.6239334344863892,0.09582048654556274,0.601260781288147,0.7411516904830933,0.7030759453773499,-0.32876017689704895,1.2974298000335693,0.28291618824005127,0.4480992555618286,-0.5096089839935303,-0.4214766025543213,0.2519942820072174]"
1772115495.587903,2036,"[-1.9221970433136448e-05,0.0014145614113658667,0.005780892912298441,-0.006391586735844612,0.02556634694337845,-0.1257012039422989,-0.022432588040828705,-0.010159890167415142,-0.9996967315673828,0.033374227583408356,0.02263309806585312,0.015344472602009773,-0.03797756880521774,-0.13503135740756989,0.062145113945007324,0.00613778829574585,0.008823070675134659,0.07173541188240051,0.07787319272756577,0.2240293025970459,-0.07442069053649902,-0.024175824597477913,-0.024175824597477913,0.21758241951465607,-0.008058608509600163,0.12210012227296829,0.08547008782625198,-0.008058608509600163,0.056410256773233414,-0.10476190596818924,0.07252747565507889,-0.13431014120578766,0.0,-0.6239334344863892,0.09582048654556274,0.601260781288147,0.7411516904830933,0.7030759453773499,-0.32876017689704895,1.2974298000335693,0.28291618824005127,0.4480992555618286,-0.5096089839935303,-0.4214766025543213,0.2519942820072174,-0.0,0.0,0.0]","[-0.6052144765853882,0.07200634479522705,0.5735049843788147,0.7489855885505676,0.6808319091796875,-0.34481334686279297,1.217767596244812,0.273089736700058,0.4287365674972534,-0.5076353549957275,-0.42551320791244507,0.26206716895103455]"
1772115495.609539,2037,"[-0.0005360963405109942,0.0006884922622703016,0.005811226554214954,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.022432588040828705,-0.010159890167415142,-0.9996967315673828,0.033374227583408356,0.024934768676757812,0.017646143212914467,-0.039512015879154205,-0.133113294839859,0.06367956101894379,0.00613778829574585,0.008823070675134659,0.07250262796878815,0.07825680822134018,0.2190423458814621,-0.07480430603027344,0.024175824597477913,0.08864469081163406,0.07252747565507889,-0.008058608509600163,0.14652015268802643,0.08547008782625198,0.024175824597477913,-0.008058608509600163,-0.12087912112474442,0.16923077404499054,-0.23199023306369781,-0.07326007634401321,-0.6052144765853882,0.07200634479522705,0.5735049843788147,0.7489855885505676,0.6808319091796875,-0.34481334686279297,1.217767596244812,0.273089736700058,0.4287365674972534,-0.5076353549957275,-0.42551320791244507,0.26206716895103455,-0.0,0.0,0.0]","[-0.5794466733932495,0.05432756245136261,0.5291953682899475,0.7572569251060486,0.6667826175689697,-0.3631282150745392,1.1408461332321167,0.26474878191947937,0.39796024560928345,-0.4960003197193146,-0.427205353975296,0.2704811692237854]"
1772115495.626702,2038,"[-0.0005360963405109942,0.0006884922622703016,0.005811226554214954,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.01965286396443844,-0.010256335139274597,-0.9997542500495911,0.033374227583408356,0.02608560398221016,0.01994781382381916,-0.04066285118460655,-0.13100342452526093,0.06578942388296127,0.0057541802525520325,0.008823070675134659,0.07288624346256256,0.07940763980150223,0.2088766247034073,-0.07998306304216385,0.04029304161667824,0.04029304161667824,0.1369963437318802,-0.2014652043581009,0.12210012227296829,0.13431014120578766,0.056410256773233414,0.008058608509600163,-0.024175824597477913,0.2014652043581009,-0.5250305533409119,-0.1953601986169815,-0.5794466733932495,0.05432756245136261,0.5291953682899475,0.7572569251060486,0.6667826175689697,-0.3631282150745392,1.1408461332321167,0.26474878191947937,0.39796024560928345,-0.4960003197193146,-0.427205353975296,0.2704811692237854,-0.0,0.0,0.0]","[-0.5564254522323608,0.035022467374801636,0.49349337816238403,0.7678027153015137,0.6627230644226074,-0.38118988275527954,1.0681922435760498,0.2538107633590698,0.36598336696624756,-0.4861390292644501,-0.4264426529407501,0.28106024861335754]"
1772115495.653898,2039,"[-0.0005360963405109942,0.0006884922622703016,0.005811226554214954,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.01965286396443844,-0.010256335139274597,-0.9997542500495911,0.03299061208963394,0.026469215750694275,0.021098649129271507,-0.04104646295309067,-0.12870176136493683,0.06809110194444656,0.0057541802525520325,0.008439458906650543,0.07288624346256256,0.08017486333847046,0.20235523581504822,-0.08305195719003677,-0.008058608509600163,0.024175824597477913,-0.04029304161667824,0.024175824597477913,0.10989011079072952,0.12210012227296829,0.008058608509600163,-0.08864469081163406,0.024175824597477913,0.12087912112474442,-0.4761904776096344,-0.29304030537605286,-0.5564254522323608,0.035022467374801636,0.49349337816238403,0.7678027153015137,0.6627230644226074,-0.38118988275527954,1.0681922435760498,0.2538107633590698,0.36598336696624756,-0.4861390292644501,-0.4264426529407501,0.28106024861335754,-0.0,0.0,0.0]","[-0.5385146141052246,0.014422662556171417,0.4654666483402252,0.7731991410255432,0.6608901023864746,-0.3976617157459259,0.9962719678878784,0.24190323054790497,0.33734995126724243,-0.4768535792827606,-0.4194122850894928,0.2905115485191345]"
1772115495.670115,2040,"[-0.0005360963405109942,0.0006884922622703016,0.005811226554214954,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.01965286396443844,-0.010256335139274597,-0.9997542500495911,0.03299061208963394,0.026469215750694275,0.021098649129271507,-0.04104646295309067,-0.12870176136493683,0.06809110194444656,0.0057541802525520325,0.008439458906650543,0.07288624346256256,0.08017486333847046,0.1992863416671753,-0.08497001230716705,-0.008058608509600163,0.024175824597477913,-0.04029304161667824,0.024175824597477913,0.10989011079072952,0.12210012227296829,0.008058608509600163,-0.08864469081163406,0.024175824597477913,0.12087912112474442,-0.4029304087162018,-0.3174603283405304,-0.5385146141052246,0.014422662556171417,0.4654666483402252,0.7731991410255432,0.6608901023864746,-0.3976617157459259,0.9962719678878784,0.24190323054790497,0.33734995126724243,-0.4768535792827606,-0.4194122850894928,0.2905115485191345,-0.0,0.0,0.0]","[-0.5246047973632812,-0.005720648914575577,0.44343727827072144,0.7757723927497864,0.6657963991165161,-0.4094545841217041,0.9278627634048462,0.22979407012462616,0.31198811531066895,-0.4694189131259918,-0.4121380150318146,0.2988307774066925]"
1772115495.687549,2041,"[-0.0005360963405109942,0.0006884922622703016,0.005811226554214954,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.01965286396443844,-0.010256335139274597,-0.9997542500495911,0.03299061208963394,0.026469215750694275,0.023016707971692085,-0.042964521795511246,-0.1254410594701767,0.07211901992559433,0.00613778829574585,0.008439458906650543,0.07211901247501373,0.08209292590618134,0.19334034621715546,-0.09014876931905746,-0.04029304161667824,-0.024175824597477913,-0.2014652043581009,0.15311355888843536,0.061050061136484146,0.12210012227296829,-0.024175824597477913,-0.08864469081163406,-0.024175824597477913,-0.16923077404499054,-0.14652015268802643,-0.10989011079072952,-0.5246047973632812,-0.005720648914575577,0.44343727827072144,0.7757723927497864,0.6657963991165161,-0.4094545841217041,0.9278627634048462,0.22979407012462616,0.31198811531066895,-0.4694189131259918,-0.4121380150318146,0.2988307774066925,-0.0,0.0,0.0]","[-0.5155074596405029,-0.02408822998404503,0.4276432394981384,0.7762077450752258,0.6745083928108215,-0.4246006906032562,0.8610649108886719,0.21845577657222748,0.2909587323665619,-0.4606235921382904,-0.4013710618019104,0.3099076449871063]"
1772115495.710870,2042,"[-0.001423265435732901,-0.0002442206896375865,0.005933151580393314,0.01065264455974102,0.003195793367922306,-0.06817692518234253,-0.01965286396443844,-0.010256335139274597,-0.9997542500495911,0.03299061208963394,0.026469215750694275,0.023016707971692085,-0.042964521795511246,-0.1254410594701767,0.07211901992559433,0.00613778829574585,0.008439458906650543,0.07211901247501373,0.08209292590618134,0.19334034621715546,-0.09014876931905746,0.008058608509600163,-0.024175824597477913,-0.2014652043581009,0.15311355888843536,0.061050061136484146,0.12210012227296829,-0.024175824597477913,-0.08864469081163406,0.07252747565507889,-0.16923077404499054,-0.14652015268802643,-0.10989011079072952,-0.5155074596405029,-0.02408822998404503,0.4276432394981384,0.7762077450752258,0.6745083928108215,-0.4246006906032562,0.8610649108886719,0.21845577657222748,0.2909587323665619,-0.4606235921382904,-0.4013710618019104,0.3099076449871063,-0.0,0.0,0.0]","[-0.5083068609237671,-0.04225402697920799,0.41384580731391907,0.7753919363021851,0.6860147714614868,-0.4344465434551239,0.7971526980400085,0.20998834073543549,0.27198994159698486,-0.4549424946308136,-0.3964354991912842,0.3169243335723877]"
1772115495.727472,2043,"[-0.001423265435732901,-0.0002442206896375865,0.005933151580393314,-0.007456851191818714,0.030892668291926384,-0.12676647305488586,-0.01965286396443844,-0.009968784637749195,-0.9997571706771851,0.03299061208963394,0.026469215750694275,0.023783933371305466,-0.04373174533247948,-0.11987868696451187,0.07768139243125916,0.00613778829574585,0.008439458906650543,0.07058456540107727,0.08439459651708603,0.19007965922355652,-0.09494392573833466,0.04029304161667824,0.04029304161667824,-0.08864469081163406,-0.21758241951465607,0.17094017565250397,0.18315018713474274,0.056410256773233414,0.056410256773233414,-0.2014652043581009,0.08864469081163406,-0.07326007634401321,-0.08547008782625198,-0.5083068609237671,-0.04225402697920799,0.41384580731391907,0.7753919363021851,0.6860147714614868,-0.4344465434551239,0.7971526980400085,0.20998834073543549,0.27198994159698486,-0.4549424946308136,-0.3964354991912842,0.3169243335723877,-0.0,0.0,0.0]","[-0.5165845155715942,-0.06255799531936646,0.41669705510139465,0.7716606855392456,0.695566713809967,-0.4433993697166443,0.7363994717597961,0.19817307591438293,0.2591657042503357,-0.4550304710865021,-0.3974386155605316,0.3232993483543396]"
