time_s,step,observation,action_pre_scale
1772115455.036368,11,"[0.00272851949557662,0.00040357373654842377,0.005732281599193811,0.0,-0.02876213937997818,0.009587380103766918,-0.020611407235264778,-0.010064440779387951,-0.9997369050979614,-0.0003836117684841156,0.0003836117684841156,-0.004219729453325272,0.005370564758777618,-0.028579076752066612,-0.001726253074593842,0.0011508390307426453,-0.0023016706109046936,0.005370564758777618,0.001534447306767106,0.02972991392016411,0.0013426411896944046,-0.07252747565507889,0.10476190596818924,0.008058608509600163,-0.008058608509600163,-0.24420024454593658,-0.08547008782625198,-0.008058608509600163,-0.024175824597477913,0.008058608509600163,0.07252747565507889,0.04884004965424538,0.012210012413561344,0.04816510155797005,-0.07991872727870941,0.10591516643762589,0.17230337858200073,0.5317434072494507,0.03739340230822563,0.134977787733078,0.1505391001701355,-0.10827232897281647,0.2064688503742218,-0.5927855968475342,-0.07683517038822174,0.0,0.0,0.0]","[0.031584225594997406,-0.08561375737190247,0.1048446074128151,0.1694861352443695,0.543631911277771,0.03700850158929825,0.14403125643730164,0.15841354429721832,-0.11938303709030151,0.2039778083562851,-0.6086438894271851,-0.07594986259937286]"
1772115455.056976,12,"[0.00272851949557662,0.00040357373654842377,0.005732281599193811,0.0,-0.02876213937997818,0.009587380103766918,-0.020611407235264778,-0.010064440779387951,-0.9997369050979614,-0.0003836117684841156,0.0003836117684841156,-0.004219729453325272,0.005754176527261734,-0.032607004046440125,-0.0023016708437353373,0.0007672235369682312,-0.0023016706109046936,0.005754176527261734,0.001534447306767106,0.030305329710245132,0.0011508353054523468,0.04029304161667824,0.08864469081163406,-0.3948718011379242,-0.10476190596818924,-0.12210012227296829,-0.012210012413561344,-0.04029304161667824,-0.07252747565507889,0.18534798920154572,-0.24981684982776642,-0.0,0.061050061136484146,0.031584225594997406,-0.08561375737190247,0.1048446074128151,0.1694861352443695,0.543631911277771,0.03700850158929825,0.14403125643730164,0.15841354429721832,-0.11938303709030151,0.2039778083562851,-0.6086438894271851,-0.07594986259937286,0.0,0.0,0.0]","[0.007483437657356262,-0.0884040892124176,0.1022653877735138,0.17026296257972717,0.5549502968788147,0.03753430396318436,0.1530722975730896,0.16576464474201202,-0.1304544061422348,0.20265784859657288,-0.6194520592689514,-0.07421615719795227]"
1772115455.077612,13,"[0.0010720581049099565,-7.128821016522124e-05,0.005674238782376051,-0.004261057823896408,-0.041545312851667404,0.011717909015715122,-0.020611407235264778,-0.010064440779387951,-0.9997369050979614,-0.0003836117684841156,0.0,-0.004603342153131962,0.00613778829574585,-0.03375784307718277,-0.0023016708437353373,0.0007672235369682312,-0.0023016706109046936,0.005754176527261734,0.001534447306767106,0.030880749225616455,0.0009590296540409327,0.008058608509600163,-0.056410256773233414,-0.08864469081163406,-0.2014652043581009,-0.07326007634401321,0.061050061136484146,-0.024175824597477913,0.008058608509600163,0.04029304161667824,-0.008058608509600163,0.02442002482712269,-0.012210012413561344,0.007483437657356262,-0.0884040892124176,0.1022653877735138,0.17026296257972717,0.5549502968788147,0.03753430396318436,0.1530722975730896,0.16576464474201202,-0.1304544061422348,0.20265784859657288,-0.6194520592689514,-0.07421615719795227,0.0,0.0,0.0]","[-0.020205289125442505,-0.08998733758926392,0.09803488850593567,0.16817492246627808,0.5610436201095581,0.0367732010781765,0.16377949714660645,0.17087320983409882,-0.1351623386144638,0.20201647281646729,-0.6266142129898071,-0.07391863316297531]"
1772115455.099758,14,"[0.0010720581049099565,-7.128821016522124e-05,0.005674238782376051,-0.004261057823896408,-0.041545312851667404,0.011717909015715122,-0.023199377581477165,-0.009968026541173458,-0.9996811747550964,-0.0003836117684841156,0.0,-0.004603342153131962,0.006521400064229965,-0.03471687063574791,-0.002493476727977395,0.0011508390307426453,-0.0023016706109046936,0.00613778829574585,0.0019180590752512217,0.03126436471939087,0.0009590296540409327,-0.056410256773233414,0.008058608509600163,0.056410256773233414,0.10476190596818924,-0.0,0.03663003817200661,0.024175824597477913,-0.024175824597477913,-0.08864469081163406,0.24981684982776642,0.04884004965424538,0.012210012413561344,-0.020205289125442505,-0.08998733758926392,0.09803488850593567,0.16817492246627808,0.5610436201095581,0.0367732010781765,0.16377949714660645,0.17087320983409882,-0.1351623386144638,0.20201647281646729,-0.6266142129898071,-0.07391863316297531,0.0,0.0,0.0]","[-0.04902717471122742,-0.09078994393348694,0.09555239230394363,0.16510896384716034,0.5620275139808655,0.03611879050731659,0.17399534583091736,0.17436717450618744,-0.13830938935279846,0.2009156495332718,-0.6312976479530334,-0.07495792955160141]"
1772115455.118362,15,"[0.0010720581049099565,-7.128821016522124e-05,0.005674238782376051,-0.004261057823896408,-0.041545312851667404,0.011717909015715122,-0.023199377581477165,-0.009968026541173458,-0.9996811747550964,-0.0007672253996133804,0.0,-0.004603342153131962,0.006521400064229965,-0.03490867838263512,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.00613778829574585,0.001534447306767106,0.03145616874098778,0.0011508353054523468,-0.07252747565507889,0.008058608509600163,0.056410256773233414,0.10476190596818924,-0.03663003817200661,0.07326007634401321,0.024175824597477913,-0.07252747565507889,0.008058608509600163,0.18534798920154572,0.03663003817200661,0.04884004965424538,-0.04902717471122742,-0.09078994393348694,0.09555239230394363,0.16510896384716034,0.5620275139808655,0.03611879050731659,0.17399534583091736,0.17436717450618744,-0.13830938935279846,0.2009156495332718,-0.6312976479530334,-0.07495792955160141,0.0,0.0,0.0]","[-0.0801146924495697,-0.0912247896194458,0.09310107678174973,0.16386860609054565,0.5630759000778198,0.03577757999300957,0.18347790837287903,0.1770036369562149,-0.14104481041431427,0.20044787228107452,-0.6336666345596313,-0.07508372515439987]"
1772115455.139728,16,"[0.0010720581049099565,-7.128821016522124e-05,0.005674238782376051,-0.004261057823896408,-0.041545312851667404,0.011717909015715122,-0.023199377581477165,-0.009968026541173458,-0.9996811747550964,-0.0003836117684841156,0.0003836117684841156,-0.004603342153131962,0.006905012764036655,-0.03567590191960335,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.006521400064229965,0.001534447306767106,0.03222339227795601,0.0007672237697988749,0.024175824597477913,0.10476190596818924,-0.024175824597477913,0.08864469081163406,-0.012210012413561344,-0.07326007634401321,-0.04029304161667824,0.08864469081163406,0.2014652043581009,-0.23369963467121124,0.03663003817200661,-0.04884004965424538,-0.0801146924495697,-0.0912247896194458,0.09310107678174973,0.16386860609054565,0.5630759000778198,0.03577757999300957,0.18347790837287903,0.1770036369562149,-0.14104481041431427,0.20044787228107452,-0.6336666345596313,-0.07508372515439987,0.0,0.0,0.0]","[-0.11840225756168365,-0.09372439980506897,0.08771909028291702,0.1647845059633255,0.5660391449928284,0.03556836396455765,0.1902080774307251,0.17978304624557495,-0.14647813141345978,0.2023715227842331,-0.6349736452102661,-0.07268322259187698]"
1772115455.159064,17,"[0.0010720581049099565,-7.128821016522124e-05,0.005674238782376051,-0.004261057823896408,-0.041545312851667404,0.011717909015715122,-0.023199377581477165,-0.009968026541173458,-0.9996811747550964,-0.0003836117684841156,0.0003836117684841156,-0.004986953921616077,0.006905012764036655,-0.03567590191960335,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.006521400064229965,0.001534447306767106,0.03222339227795601,0.0007672237697988749,-0.04029304161667824,-0.056410256773233414,-0.04029304161667824,-0.15311355888843536,-0.012210012413561344,0.02442002482712269,0.024175824597477913,0.024175824597477913,0.008058608509600163,-0.04029304161667824,-0.012210012413561344,0.0,-0.11840225756168365,-0.09372439980506897,0.08771909028291702,0.1647845059633255,0.5660391449928284,0.03556836396455765,0.1902080774307251,0.17978304624557495,-0.14647813141345978,0.2023715227842331,-0.6349736452102661,-0.07268322259187698,0.0,0.0,0.0]","[-0.16139785945415497,-0.09403714537620544,0.0845295712351799,0.1665424257516861,0.5651467442512512,0.03537541627883911,0.19664397835731506,0.18067632615566254,-0.14935190975666046,0.20230603218078613,-0.6354969143867493,-0.07279031723737717]"
1772115455.176908,18,"[-0.00013315519026946276,-0.0003422129084356129,0.005916737485677004,-0.002130528911948204,-0.02556634694337845,0.007456851191818714,-0.023199377581477165,-0.009968026541173458,-0.9996811747550964,-0.0003836117684841156,0.0003836117684841156,-0.004986953921616077,0.006905012764036655,-0.03605951368808746,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.006521400064229965,0.001534447306767106,0.03222339227795601,0.0007672237697988749,-0.07252747565507889,0.056410256773233414,0.07252747565507889,0.024175824597477913,0.07326007634401321,-0.012210012413561344,-0.008058608509600163,0.12087912112474442,-0.056410256773233414,0.04029304161667824,0.03663003817200661,0.0,-0.16139785945415497,-0.09403714537620544,0.0845295712351799,0.1665424257516861,0.5651467442512512,0.03537541627883911,0.19664397835731506,0.18067632615566254,-0.14935190975666046,0.20230603218078613,-0.6354969143867493,-0.07279031723737717,0.0,0.0,0.0]","[-0.20915788412094116,-0.09550687670707703,0.08354555070400238,0.16704651713371277,0.5641182065010071,0.03446752950549126,0.2020270824432373,0.17989979684352875,-0.15422680974006653,0.20084354281425476,-0.6362766623497009,-0.0736079141497612]"
1772115455.196821,19,"[-0.00013315519026946276,-0.0003422129084356129,0.005916737485677004,-0.002130528911948204,-0.02556634694337845,0.007456851191818714,-0.026553921401500702,-0.00987135898321867,-0.9995986223220825,-0.0003836117684841156,0.0,-0.004986953921616077,0.007288623601198196,-0.03605951368808746,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.006905011832714081,0.001534447306767106,0.03222339227795601,0.0007672237697988749,-0.024175824597477913,-0.04029304161667824,-0.008058608509600163,0.04029304161667824,0.03663003817200661,0.02442002482712269,-0.008058608509600163,0.12087912112474442,0.008058608509600163,0.008058608509600163,-0.03663003817200661,0.0,-0.20915788412094116,-0.09550687670707703,0.08354555070400238,0.16704651713371277,0.5641182065010071,0.03446752950549126,0.2020270824432373,0.17989979684352875,-0.15422680974006653,0.20084354281425476,-0.6362766623497009,-0.0736079141497612,0.0,0.0,0.0]","[-0.26214349269866943,-0.09518693387508392,0.08061785995960236,0.16961662471294403,0.5616970658302307,0.03400176391005516,0.203708678483963,0.17935560643672943,-0.15660029649734497,0.20119623839855194,-0.6368961334228516,-0.07446999847888947]"
1772115455.218165,20,"[-0.00013315519026946276,-0.0003422129084356129,0.005916737485677004,-0.002130528911948204,-0.02556634694337845,0.007456851191818714,-0.026553921401500702,-0.00987135898321867,-0.9995986223220825,-0.0003836117684841156,0.0,-0.005370565690100193,0.007288623601198196,-0.03605951368808746,-0.0023016708437353373,0.0011508390307426453,-0.0023016706109046936,0.006905011832714081,0.0019180590752512217,0.032415200024843216,0.0009590296540409327,-0.008058608509600163,-0.008058608509600163,-0.07252747565507889,0.15311355888843536,-0.0,0.03663003817200661,0.07252747565507889,0.04029304161667824,0.07252747565507889,0.056410256773233414,0.012210012413561344,0.02442002482712269,-0.26214349269866943,-0.09518693387508392,0.08061785995960236,0.16961662471294403,0.5616970658302307,0.03400176391005516,0.203708678483963,0.17935560643672943,-0.15660029649734497,0.20119623839855194,-0.6368961334228516,-0.07446999847888947,0.0,0.0,0.0]","[-0.31865593791007996,-0.09430769085884094,0.0782654732465744,0.17127254605293274,0.5605276823043823,0.0335012823343277,0.20501357316970825,0.17872931063175201,-0.15896475315093994,0.2002241313457489,-0.6368831992149353,-0.07526468485593796]"
