time_s,step,observation,action_pre_scale
1776857427.582060,473,"[-0.02658557891845703,0.039611056447029114,-0.9988614320755005,-0.02611576020717621,0.055288366973400116,0.10410148650407791,-0.004280979745090008,0.0034487745724618435,0.02589752897620201,-0.003046200145035982,-0.018852708861231804,0.01097459439188242,0.01107095554471016,0.0009590295376256108,0.0026852828450500965,-0.04593578726053238,-0.3538021445274353,-0.013701261952519417,-0.4763033390045166,-1.0343916416168213,-0.3163303732872009,-0.10718637704849243,-0.010474469512701035,-0.4102124571800232,0.8986123204231262,0.10330531746149063,-0.09720030426979065,-0.14559225738048553,0.16513347625732422,0.703313410282135,-0.5587775707244873,-0.4887869358062744,-0.04446622356772423,-0.12946459650993347,-0.08209297806024551,-0.5206097364425659,0.763591468334198,-0.018505781888961792,-0.12035316973924637,0.0,0.0,0.0]","[-0.14607344567775726,0.05428479611873627,0.5607719421386719,-0.5410243272781372,-0.48491179943084717,-0.1076335534453392,-0.17401869595050812,-0.024248803034424782,-0.6495435833930969,0.7818939089775085,-0.28852128982543945,-0.16895794868469238]"
1776857427.600574,474,"[-0.02774082124233246,0.03234918415546417,-0.9990915656089783,-0.02611576020717621,0.045698072761297226,0.10218342393636703,-0.011185992509126663,-0.012279309332370758,0.023979470133781433,-0.006115094758570194,-0.016934650018811226,0.00023346404486801475,0.024497367441654205,0.0024934769608080387,0.0,-0.012087912298738956,-0.3893889784812927,-0.03597312793135643,-0.41074836254119873,-0.7115601301193237,-0.09079599380493164,-0.16957151889801025,0.019855817779898643,-0.67610102891922,0.9126170873641968,-0.01039128378033638,-0.07339034229516983,-0.14607344567775726,0.05428479611873627,0.5607719421386719,-0.5410243272781372,-0.48491179943084717,-0.1076335534453392,-0.17401869595050812,-0.024248803034424782,-0.6495435833930969,0.7818939089775085,-0.28852128982543945,-0.16895794868469238,0.0,0.0,0.0]","[-0.14059597253799438,-0.006443284451961517,0.4264782965183258,-0.5454897880554199,-0.5098152756690979,-0.13244029879570007,-0.2027328759431839,-0.02342524193227291,-0.707862138748169,0.717060923576355,-0.45937079191207886,-0.21832317113876343]"
1776857427.620706,475,"[-0.02874324470758438,0.030394598841667175,-0.9991245865821838,-0.02611576020717621,0.038025837391614914,0.1014162003993988,-0.01578933373093605,-0.019376127049326897,0.020335156470537186,-0.009567600674927235,-0.013865756802260876,-0.015494619496166706,0.04060906544327736,-0.0038361181505024433,-0.0021098649594932795,0.012087912298738956,-0.3793894052505493,-0.06332355737686157,-0.3839706480503082,-0.38943639397621155,-0.2734059691429138,-0.17012083530426025,0.12032715976238251,-0.8126017451286316,1.0638606548309326,-0.39485523104667664,-0.10109338164329529,-0.14059597253799438,-0.006443284451961517,0.4264782965183258,-0.5454897880554199,-0.5098152756690979,-0.13244029879570007,-0.2027328759431839,-0.02342524193227291,-0.707862138748169,0.717060923576355,-0.45937079191207886,-0.21832317113876343,0.0,0.0,0.0]","[-0.1256488561630249,-0.030925191938877106,0.3509775996208191,-0.5738840103149414,-0.5240909457206726,-0.13913364708423615,-0.22863836586475372,-0.025867650285363197,-0.7392424941062927,0.6658114194869995,-0.5622380375862122,-0.2523374855518341]"
1776857427.642070,476,"[-0.030413411557674408,0.028391674160957336,-0.9991341233253479,-0.02611576020717621,0.03342249616980553,0.09758008271455765,-0.022310735657811165,-0.024938499554991722,0.014389174990355968,-0.009567600674927235,-0.013865756802260876,-0.015494619496166706,0.044445183128118515,-0.0038361181505024433,-0.0021098649594932795,-0.02014652080833912,-0.28395605087280273,-0.24938949942588806,-0.507368803024292,-0.24975278973579407,-0.2772924304008484,-0.08461538702249527,0.04432234540581703,-0.42307692766189575,0.2171550691127777,-0.2380952388048172,-0.04884004965424538,-0.1256488561630249,-0.030925191938877106,0.3509775996208191,-0.5738840103149414,-0.5240909457206726,-0.13913364708423615,-0.22863836586475372,-0.025867650285363197,-0.7392424941062927,0.6658114194869995,-0.5622380375862122,-0.2523374855518341,0.0,0.0,0.0]","[-0.12785066664218903,-0.031346820294857025,0.2656044363975525,-0.5741093158721924,-0.5087586045265198,-0.14120927453041077,-0.2186003029346466,-0.08362720161676407,-0.7972350120544434,0.6121504306793213,-0.6934078335762024,-0.29756638407707214]"
1776857427.661591,477,"[-0.034687936305999756,0.023128636181354523,-0.9991304874420166,-0.025732148438692093,0.01922885701060295,0.08990783989429474,-0.02883213572204113,-0.03529601916670799,0.005566102918237448,-0.011869272217154503,-0.011564085260033607,-0.026235749945044518,0.04482879489660263,-0.0270446315407753,-0.008823071606457233,-0.01813601329922676,-0.5135830640792847,-0.5519319772720337,-0.35249364376068115,-0.4977514147758484,-0.4635799527168274,-0.11279568076133728,0.08056124299764633,-0.576074481010437,-0.01813601329922676,-0.9510619640350342,-0.30441468954086304,-0.12785066664218903,-0.031346820294857025,0.2656044363975525,-0.5741093158721924,-0.5087586045265198,-0.14120927453041077,-0.2186003029346466,-0.08362720161676407,-0.7972350120544434,0.6121504306793213,-0.6934078335762024,-0.29756638407707214,0.0,0.0,0.0]","[-0.15361511707305908,-0.035902783274650574,0.12897564470767975,-0.44903627038002014,-0.40861302614212036,-0.13700030744075775,-0.20891116559505463,-0.11100302636623383,-0.7577919960021973,0.47831693291664124,-0.9465294480323792,-0.39207422733306885]"
1776857427.681485,478,"[-0.034919023513793945,0.021259479224681854,-0.9991639852523804,-0.025732148438692093,0.011173010803759098,0.07724865525960922,-0.028448523953557014,-0.04258463904261589,-0.0013389097293838859,-0.01302010752260685,-0.011947697028517723,-0.037744104862213135,0.043677959591150284,-0.037785761058330536,-0.011891965754330158,-0.012087912298738956,-0.3128102123737335,-0.8438351154327393,0.15035709738731384,-0.2505575120449066,-0.2473311722278595,-0.040082257241010666,-0.06977100670337677,-0.7191376686096191,0.00826939195394516,-0.5054808259010315,-0.14180666208267212,-0.15361511707305908,-0.035902783274650574,0.12897564470767975,-0.44903627038002014,-0.40861302614212036,-0.13700030744075775,-0.20891116559505463,-0.11100302636623383,-0.7577919960021973,0.47831693291664124,-0.9465294480323792,-0.39207422733306885,0.0,0.0,0.0]","[-0.21136942505836487,-0.03235045075416565,-0.008056581020355225,-0.24516114592552185,-0.3174562454223633,-0.14737854897975922,-0.18068723380565643,-0.15313345193862915,-0.741774320602417,0.21075229346752167,-1.2755228281021118,-0.4399462640285492]"
1776857427.701679,479,"[-0.034431375563144684,0.019976958632469177,-0.9992073774337769,-0.025732148438692093,0.008487727493047714,0.07034364342689514,-0.0280649121850729,-0.04239283502101898,-0.001147103845141828,-0.01340371835976839,-0.012331308797001839,-0.04311467334628105,0.04252712428569794,-0.04238910600543022,-0.014960860833525658,0.004029304254800081,-0.16789117455482483,-0.748883843421936,0.05391642451286316,0.047532036900520325,0.017007051035761833,-0.029740575700998306,0.01861105114221573,-0.5251596570014954,-0.09728040546178818,-0.0723939836025238,-0.22327280044555664,-0.21136942505836487,-0.03235045075416565,-0.008056581020355225,-0.24516114592552185,-0.3174562454223633,-0.14737854897975922,-0.18068723380565643,-0.15313345193862915,-0.741774320602417,0.21075229346752167,-1.2755228281021118,-0.4399462640285492,0.0,0.0,0.0]","[-0.23110833764076233,0.022426603361964226,-0.07559247314929962,-0.11208389699459076,-0.410129189491272,-0.1317708045244217,-0.160500630736351,-0.19611278176307678,-0.7030004262924194,-0.006555575877428055,-1.2797257900238037,-0.42614516615867615]"
1776857427.720631,480,"[-0.033922791481018066,0.019564330577850342,-0.9992329478263855,-0.025732148438692093,0.0050352211110293865,0.06075334921479225,-0.026914076879620552,-0.04258463904261589,-0.0017225214978680015,-0.014170941896736622,-0.012331308797001839,-0.048101622611284256,0.04214351251721382,-0.037018537521362305,-0.018413366749882698,-0.012087912298738956,-0.1892291158437729,-0.5319042205810547,0.05770396441221237,0.013398595154285431,-0.0025394046679139137,-0.04787101596593857,0.012087912298738956,-0.059330008924007416,0.05866522714495659,0.24144643545150757,-0.2716466784477234,-0.23110833764076233,0.022426603361964226,-0.07559247314929962,-0.11208389699459076,-0.410129189491272,-0.1317708045244217,-0.160500630736351,-0.19611278176307678,-0.7030004262924194,-0.006555575877428055,-1.2797257900238037,-0.42614516615867615,0.0,0.0,0.0]","[-0.2221156656742096,0.11826983094215393,-0.0741153210401535,-0.054992228746414185,-0.5873647332191467,-0.08351431041955948,-0.14598342776298523,-0.22385627031326294,-0.6656720638275146,-0.1000252366065979,-1.0139092206954956,-0.3692910969257355]"
1776857427.742201,481,"[-0.03283722698688507,0.018177136778831482,-0.9992954134941101,-0.028801042586565018,4.8267618694808334e-05,0.04157276079058647,-0.022310735657811165,-0.04239283502101898,-0.0026815510354936123,-0.014554553665220737,-0.014632979407906532,-0.046567175537347794,0.03255321457982063,-0.04238910600543022,-0.023783931508660316,-0.11027149856090546,-0.14040915668010712,-0.9742701649665833,0.1472753882408142,-0.019794583320617676,-0.004812411963939667,-0.013280274346470833,-0.09982816874980927,0.1377364844083786,-0.710761547088623,-0.3248738646507263,-0.1844586431980133,-0.2221156656742096,0.11826983094215393,-0.0741153210401535,-0.054992228746414185,-0.5873647332191467,-0.08351431041955948,-0.14598342776298523,-0.22385627031326294,-0.6656720638275146,-0.1000252366065979,-1.0139092206954956,-0.3692910969257355,0.0,0.0,0.0]","[-0.2508862316608429,0.15769317746162415,-0.05978800728917122,0.2044641375541687,-0.38579726219177246,-0.07379954308271408,-0.10684972256422043,-0.2497292160987854,-0.5635785460472107,-0.3298247754573822,-1.2543723583221436,-0.4012928605079651]"
1776857427.760991,482,"[-0.034499622881412506,0.018156342208385468,-0.9992398023605347,-0.029184654355049133,0.0008154912502504885,0.035051360726356506,-0.020392674952745438,-0.04431089758872986,-0.0026815510354936123,-0.014170941896736622,-0.01578381471335888,-0.042731061577796936,0.021812086924910545,-0.04948592185974121,-0.026277408003807068,-0.005659987684339285,0.055642321705818176,-0.4588571786880493,0.1491791009902954,-0.04234154522418976,0.03663003817200661,0.06207024306058884,-0.09756604582071304,0.26209428906440735,-0.5896151065826416,-0.295246958732605,-0.07519041001796722,-0.2508862316608429,0.15769317746162415,-0.05978800728917122,0.2044641375541687,-0.38579726219177246,-0.07379954308271408,-0.10684972256422043,-0.2497292160987854,-0.5635785460472107,-0.3298247754573822,-1.2543723583221436,-0.4012928605079651,0.0,0.0,0.0]","[-0.2165086567401886,0.21428009867668152,0.023317374289035797,0.4043613374233246,-0.43736493587493896,-0.01968546211719513,-0.07875102013349533,-0.20054689049720764,-0.408521831035614,-0.47790631651878357,-1.029279112815857,-0.3140649199485779]"
1776857427.780774,483,"[-0.03708943724632263,0.018055513501167297,-0.9991487860679626,-0.02956826612353325,0.0027335502672940493,0.03044801764190197,-0.015405721962451935,-0.043735478073358536,-0.0024897451512515545,-0.01340371835976839,-0.01655103825032711,-0.040429387241601944,0.0145234614610672,-0.05102036893367767,-0.026661019772291183,-0.013762790709733963,0.0768725723028183,-0.1853000670671463,0.3159126341342926,0.014600277878344059,0.023181762546300888,0.023496277630329132,-0.007379061542451382,0.038254499435424805,-0.5757787823677063,-0.09387899935245514,0.03910656273365021,-0.2165086567401886,0.21428009867668152,0.023317374289035797,0.4043613374233246,-0.43736493587493896,-0.01968546211719513,-0.07875102013349533,-0.20054689049720764,-0.408521831035614,-0.47790631651878357,-1.029279112815857,-0.3140649199485779,0.0,0.0,0.0]","[-0.18561097979545593,0.22956964373588562,0.1616809219121933,0.6012226343154907,-0.3928813338279724,0.018081482499837875,-0.058905281126499176,-0.07119715213775635,-0.26401984691619873,-0.6304931044578552,-0.9246836304664612,-0.22510790824890137]"
1776857427.801650,484,"[-0.03843974322080612,0.017859525978565216,-0.9991012811660767,-0.02956826612353325,0.004267997574061155,0.02968079224228859,-0.011185992509126663,-0.043735478073358536,-0.002106133382767439,-0.01340371835976839,-0.01655103825032711,-0.040429387241601944,0.0145234614610672,-0.051787592470645905,-0.025893796235322952,0.004029304254800081,0.10523004829883575,-0.07880553603172302,0.47573792934417725,-0.006105006206780672,0.033602990210056305,0.004029304254800081,0.012087912298738956,-0.02014652080833912,-0.3908424973487854,-0.048890963196754456,0.04278595745563507,-0.18561097979545593,0.22956964373588562,0.1616809219121933,0.6012226343154907,-0.3928813338279724,0.018081482499837875,-0.058905281126499176,-0.07119715213775635,-0.26401984691619873,-0.6304931044578552,-0.9246836304664612,-0.22510790824890137,0.0,0.0,0.0]","[-0.1550053358078003,0.2761005163192749,0.33507102727890015,0.7683382034301758,-0.24161460995674133,0.06928373128175735,-0.04678856208920479,0.04624957591295242,-0.1264851689338684,-0.7211357355117798,-0.8672972321510315,-0.16166815161705017]"
1776857427.819967,485,"[-0.044505901634693146,0.0166209414601326,-0.9988709092140198,-0.029184654355049133,0.008487727493047714,0.02968079224228859,0.008378209546208382,-0.04392728582024574,-0.001147103845141828,-0.012252883985638618,-0.01578381471335888,-0.03966216370463371,-0.004273517057299614,-0.06061066687107086,-0.026277408003807068,0.03840458393096924,0.1726335734128952,0.02014652080833912,1.1285971403121948,0.007110235746949911,0.01939363405108452,0.03462764248251915,0.08889707922935486,0.08083847165107727,-0.785853922367096,-0.39942270517349243,-0.0224094670265913,-0.1550053358078003,0.2761005163192749,0.33507102727890015,0.7683382034301758,-0.24161460995674133,0.06928373128175735,-0.04678856208920479,0.04624957591295242,-0.1264851689338684,-0.7211357355117798,-0.8672972321510315,-0.16166815161705017,0.0,0.0,0.0]","[-0.14152805507183075,0.30436012148857117,0.4914465546607971,0.9326069355010986,0.00028415024280548096,0.1571236103773117,-0.038537878543138504,0.10778217762708664,-0.006825384683907032,-0.8018417358398438,-0.840933084487915,-0.09043630212545395]"
1776857427.840266,486,"[-0.05020326375961304,0.016086876392364502,-0.9986094236373901,-0.028033819049596786,0.01232384517788887,0.03274969011545181,0.022188235074281693,-0.03989935666322708,0.001346372882835567,-0.011485660448670387,-0.011564085260033607,-0.03736049309372902,-0.013480200432240963,-0.06598123162984848,-0.025893796235322952,0.032631438225507736,0.21219027042388916,0.20118087530136108,0.8791230916976929,0.2588377594947815,0.1779664158821106,0.0392146110534668,0.22978290915489197,0.23046433925628662,-0.6196596026420593,-0.22505170106887817,0.08279412239789963,-0.14152805507183075,0.30436012148857117,0.4914465546607971,0.9326069355010986,0.00028415024280548096,0.1571236103773117,-0.038537878543138504,0.10778217762708664,-0.006825384683907032,-0.8018417358398438,-0.840933084487915,-0.09043630212545395,0.0,0.0,0.0]","[-0.1365797519683838,0.35423746705055237,0.6274339556694031,1.0258607864379883,0.17437411844730377,0.26559799909591675,-0.046677589416503906,0.14914238452911377,0.11933661252260208,-0.7333313822746277,-0.6996080875396729,-0.02003081887960434]"
1776857427.860981,487,"[-0.05725067853927612,0.014194346964359283,-0.9982588291168213,-0.027266595512628555,0.017310798168182373,0.03658580780029297,0.03829992935061455,-0.03472059965133667,0.003839849727228284,-0.00995121244341135,-0.005042684730142355,-0.03544243425130844,-0.017316319048404694,-0.06713206321001053,-0.02512657269835472,-0.0011515934020280838,0.2080824226140976,0.2198830544948578,1.007318377494812,0.31136590242385864,0.17772865295410156,0.05007779225707054,0.2702481150627136,0.2288060039281845,-0.42134830355644226,-0.07733234763145447,0.08614999800920486,-0.1365797519683838,0.35423746705055237,0.6274339556694031,1.0258607864379883,0.17437411844730377,0.26559799909591675,-0.046677589416503906,0.14914238452911377,0.11933661252260208,-0.7333313822746277,-0.6996080875396729,-0.02003081887960434,0.0,0.0,0.0]","[-0.14905983209609985,0.38301149010658264,0.6840744614601135,1.0399589538574219,0.28734350204467773,0.3249800503253937,-0.07453479617834091,0.13567310571670532,0.17392553389072418,-0.6346094012260437,-0.5694490671157837,0.019621707499027252]"
1776857427.882702,488,"[-0.059329576790332794,0.0121799036860466,-0.9981640577316284,-0.027266595512628555,0.019996080547571182,0.03812025487422943,0.04827383905649185,-0.024746693670749664,0.012279309332370758,-0.009183988906443119,-0.002741013653576374,-0.031606316566467285,-0.025755777955055237,-0.0665566474199295,-0.01918059028685093,0.012087912298738956,0.08600983768701553,0.13836878538131714,0.8127671480178833,0.45831039547920227,0.42677924036979675,0.07119904458522797,0.1491282731294632,0.20288166403770447,-0.5091968178749084,0.056848566979169846,0.2923603653907776,-0.14905983209609985,0.38301149010658264,0.6840744614601135,1.0399589538574219,0.28734350204467773,0.3249800503253937,-0.07453479617834091,0.13567310571670532,0.17392553389072418,-0.6346094012260437,-0.5694490671157837,0.019621707499027252,0.0,0.0,0.0]","[-0.15474240481853485,0.40609902143478394,0.7198346257209778,1.0792416334152222,0.36666595935821533,0.34470516443252563,-0.08647627383470535,0.13686692714691162,0.21746152639389038,-0.6209962368011475,-0.5310145616531372,0.030075278133153915]"
1776857427.900773,489,"[-0.05956052988767624,0.011492244899272919,-0.9981586337089539,-0.02611576020717621,0.024983035400509834,0.04003831371665001,0.05978219211101532,-0.011703891679644585,0.021485991775989532,-0.009183988906443119,-0.001206566346809268,-0.026235749945044518,-0.03266078978776932,-0.06559761613607407,-0.015536278486251831,0.033766936510801315,0.2054198980331421,0.21476419270038605,0.5109294652938843,0.5262817740440369,0.3844212293624878,-0.012087912298738956,0.06785531342029572,0.4167976677417755,-0.41615474224090576,0.043096430599689484,0.21626928448677063,-0.15474240481853485,0.40609902143478394,0.7198346257209778,1.0792416334152222,0.36666595935821533,0.34470516443252563,-0.08647627383470535,0.13686692714691162,0.21746152639389038,-0.6209962368011475,-0.5310145616531372,0.030075278133153915,0.0,0.0,0.0]","[-0.17397640645503998,0.4311201870441437,0.7396379709243774,1.0628539323806763,0.40370482206344604,0.375017911195755,-0.09620081633329391,0.1308271288871765,0.238815575838089,-0.53407883644104,-0.4080698490142822,0.05588110536336899]"
1776857427.920837,490,"[-0.05827569216489792,0.009954296052455902,-0.9982508420944214,-0.02611576020717621,0.029969988390803337,0.04080553725361824,0.06553637236356735,-0.0007709552883170545,0.03126809373497963,-0.009183988906443119,0.0018623281503096223,-0.0208651851862669,-0.03534607216715813,-0.06272052973508835,-0.01265918929129839,0.02014652080833912,0.14485614001750946,0.07962565869092941,0.3816247582435608,0.5359171628952026,0.4521929621696472,0.004029304254800081,0.12106673419475555,0.5815554261207581,-0.12759089469909668,0.16962790489196777,0.1513129621744156,-0.17397640645503998,0.4311201870441437,0.7396379709243774,1.0628539323806763,0.40370482206344604,0.375017911195755,-0.09620081633329391,0.1308271288871765,0.238815575838089,-0.53407883644104,-0.4080698490142822,0.05588110536336899,0.0,0.0,0.0]","[-0.17340046167373657,0.4477384686470032,0.7623292803764343,1.0088046789169312,0.44152355194091797,0.3807385265827179,-0.10908249765634537,0.11112376302480698,0.21701854467391968,-0.4559909403324127,-0.31992653012275696,0.0617271363735199]"
1776857427.942471,491,"[-0.05518684536218643,0.007667385041713715,-0.9984466433525085,-0.02611576020717621,0.03150443732738495,0.04080553725361824,0.07052332907915115,-0.000387343461625278,0.03587143495678902,-0.009183988906443119,0.003013163572177291,-0.010124054737389088,-0.03611329570412636,-0.05734996870160103,-0.008439459837973118,-0.012087912298738956,0.06419753283262253,0.004029304254800081,0.5158763527870178,-0.17415209114551544,0.2117621898651123,0.004029304254800081,0.031023574993014336,0.5622029304504395,0.07467781752347946,0.33964836597442627,0.2577091455459595,-0.17340046167373657,0.4477384686470032,0.7623292803764343,1.0088046789169312,0.44152355194091797,0.3807385265827179,-0.10908249765634537,0.11112376302480698,0.21701854467391968,-0.4559909403324127,-0.31992653012275696,0.0617271363735199,0.0,0.0,0.0]","[-0.17281171679496765,0.4579938054084778,0.8004166483879089,0.9754140377044678,0.49112874269485474,0.38041824102401733,-0.11970987915992737,0.10453761368989944,0.20804046094417572,-0.4220324456691742,-0.2936621606349945,0.05707006901502609]"
1776857427.962072,492,"[-0.04924362897872925,0.006224885582923889,-0.9987673759460449,-0.025732148438692093,0.03303888440132141,0.04003831371665001,0.07551027834415436,-0.005949714686721563,0.03836491331458092,-0.009183988906443119,0.0033967753406614065,-0.005904324818402529,-0.034578848630189896,-0.04852689430117607,-0.005370565690100193,0.005538984667509794,0.05841967463493347,-0.0070486655458807945,0.2815305292606354,-0.3646254539489746,0.1720840334892273,0.02014652080833912,0.005538984667509794,0.16569074988365173,0.08259549736976624,0.4215359687805176,0.06433629989624023,-0.17281171679496765,0.4579938054084778,0.8004166483879089,0.9754140377044678,0.49112874269485474,0.38041824102401733,-0.11970987915992737,0.10453761368989944,0.20804046094417572,-0.4220324456691742,-0.2936621606349945,0.05707006901502609,0.0,0.0,0.0]","[-0.16328397393226624,0.4799439609050751,0.8438915610313416,0.9312912225723267,0.4770687222480774,0.3838126063346863,-0.12609881162643433,0.09274604171514511,0.2285899966955185,-0.4527360498905182,-0.2880776822566986,0.057535916566848755]"
1776857427.983274,493,"[-0.041868701577186584,0.006395250558853149,-0.9991025924682617,-0.024581313133239746,0.0376422256231308,0.039654701948165894,0.07589389383792877,-0.006525132339447737,0.041241999715566635,-0.009183988906443119,0.0033967753406614065,-0.004753489047288895,-0.03304440155625343,-0.03893659636378288,-0.0038361181505024433,0.058595817536115646,0.1578264981508255,-0.014159534126520157,0.054452672600746155,0.10079976916313171,0.08818668127059937,0.004029304254800081,0.02014652080833912,0.050537221133708954,-0.011860035359859467,0.40588098764419556,0.11378100514411926,-0.16328397393226624,0.4799439609050751,0.8438915610313416,0.9312912225723267,0.4770687222480774,0.3838126063346863,-0.12609881162643433,0.09274604171514511,0.2285899966955185,-0.4527360498905182,-0.2880776822566986,0.057535916566848755,0.0,0.0,0.0]","[-0.16563144326210022,0.49964025616645813,0.9049694538116455,0.8603197336196899,0.47609972953796387,0.3996331989765167,-0.11171866208314896,0.0818500891327858,0.23969583213329315,-0.469289094209671,-0.2428845763206482,0.0764370709657669]"
1776857428.001191,494,"[-0.04098135232925415,0.0071329474449157715,-0.9991344809532166,-0.02419770136475563,0.038793060928583145,0.04003831371665001,0.07474305480718613,-0.004223461728543043,0.04009116441011429,-0.009567600674927235,0.003013163572177291,-0.005520713049918413,-0.03342801332473755,-0.033566031605005264,-0.0030688943807035685,0.013361943885684013,-0.00020720995962619781,-0.04304831475019455,0.03244154900312424,0.03157581388950348,-0.009682899340987206,-0.0214205514639616,-0.06977219879627228,-0.1032806783914566,0.010813881643116474,0.2405470609664917,0.03698030114173889,-0.16563144326210022,0.49964025616645813,0.9049694538116455,0.8603197336196899,0.47609972953796387,0.3996331989765167,-0.11171866208314896,0.0818500891327858,0.23969583213329315,-0.469289094209671,-0.2428845763206482,0.0764370709657669,0.0,0.0,0.0]","[-0.15803271532058716,0.5233739614486694,0.9468753933906555,0.8577892780303955,0.5007297992706299,0.40324488282203674,-0.1106257289648056,0.07220962643623352,0.2619328796863556,-0.5173399448394775,-0.25797706842422485,0.06988589465618134]"
1776857428.021096,495,"[-0.041232138872146606,0.009098783135414124,-0.9991081357002258,-0.024581313133239746,0.03917667269706726,0.040421925485134125,0.0739758312702179,-0.004990685265511274,0.03970755264163017,-0.009567600674927235,0.0026295515708625317,-0.005520713049918413,-0.03342801332473755,-0.030688945204019547,-0.0032607002649456263,-0.021840278059244156,0.021840278059244156,-0.01039415504783392,-0.015475427731871605,-0.06223977357149124,-0.03417238965630531,-0.012087912298738956,-0.013781676068902016,0.05238095298409462,0.004029304254800081,0.1464027762413025,-0.010981189087033272,-0.15803271532058716,0.5233739614486694,0.9468753933906555,0.8577892780303955,0.5007297992706299,0.40324488282203674,-0.1106257289648056,0.07220962643623352,0.2619328796863556,-0.5173399448394775,-0.25797706842422485,0.06988589465618134,0.0,0.0,0.0]","[-0.16140373051166534,0.5435187816619873,0.9703826904296875,0.8442034721374512,0.5292974710464478,0.4145520329475403,-0.10545749217271805,0.05099380016326904,0.28209930658340454,-0.5065189003944397,-0.22120022773742676,0.07763226330280304]"
1776857428.041782,496,"[-0.04235968738794327,0.010754585266113281,-0.9990445971488953,-0.024581313133239746,0.04032750800251961,0.04157276079058647,0.07320860773324966,-0.00537429703399539,0.03970755264163017,-0.009567600674927235,0.0022459400352090597,-0.005520713049918413,-0.034578848630189896,-0.02781185507774353,-0.0026852828450500965,0.012087912298738956,0.0398070365190506,0.08815868198871613,-0.05474315583705902,0.0029703034088015556,0.006105006206780672,-0.004029304254800081,-0.0374448299407959,0.028205128386616707,-0.18486198782920837,0.09982288628816605,0.07490961998701096,-0.16140373051166534,0.5435187816619873,0.9703826904296875,0.8442034721374512,0.5292974710464478,0.4145520329475403,-0.10545749217271805,0.05099380016326904,0.28209930658340454,-0.5065189003944397,-0.22120022773742676,0.07763226330280304,0.0,0.0,0.0]","[-0.17222528159618378,0.555047333240509,0.9772292971611023,0.8425933122634888,0.5241227149963379,0.42863351106643677,-0.09987061470746994,0.046424441039562225,0.3024599254131317,-0.5151097178459167,-0.1984599232673645,0.08517351746559143]"
1776857428.061073,497,"[-0.04353248327970505,0.011864624917507172,-0.9989815950393677,-0.024581313133239746,0.04109473153948784,0.04349081963300705,0.07205777615308762,-0.00537429703399539,0.03970755264163017,-0.009183988906443119,0.0014787162654101849,-0.005904324818402529,-0.03534607216715813,-0.02512657269835472,-0.0007672235951758921,-0.004029304254800081,0.03213256597518921,0.10249258577823639,-0.05827201157808304,0.006105006206780672,-0.012210012413561344,0.04628606513142586,-0.02407396398484707,0.03430001810193062,-0.016015350818634033,0.1434163749217987,0.10505670309066772,-0.17222528159618378,0.555047333240509,0.9772292971611023,0.8425933122634888,0.5241227149963379,0.42863351106643677,-0.09987061470746994,0.046424441039562225,0.3024599254131317,-0.5151097178459167,-0.1984599232673645,0.08517351746559143,0.0,0.0,0.0]","[-0.16789838671684265,0.5650076270103455,0.9744225740432739,0.8254349231719971,0.5118386745452881,0.43115290999412537,-0.11068142205476761,0.03689507395029068,0.3036085069179535,-0.48344942927360535,-0.16908448934555054,0.08709701150655746]"
1776857428.080903,498,"[-0.044586747884750366,0.0129384845495224,-0.9989217519760132,-0.02496492490172386,0.04186195507645607,0.04425804316997528,0.07129055261611938,-0.005566102918237448,0.039515748620033264,-0.009183988906443119,0.001095104613341391,-0.006287936586886644,-0.03496246039867401,-0.02359212562441826,0.00038361179758794606,-0.01382000558078289,0.031669314950704575,-0.0005651172250509262,-0.023610707372426987,-0.004895350895822048,0.0012097028084099293,-0.028205128386616707,-0.005761394742876291,-0.1024646982550621,0.04605443775653839,0.09410786628723145,0.07821215689182281,-0.16789838671684265,0.5650076270103455,0.9744225740432739,0.8254349231719971,0.5118386745452881,0.43115290999412537,-0.11068142205476761,0.03689507395029068,0.3036085069179535,-0.48344942927360535,-0.16908448934555054,0.08709701150655746,0.0,0.0,0.0]","[-0.15687471628189087,0.5673747658729553,0.9771047830581665,0.7885979413986206,0.4782868027687073,0.4191007614135742,-0.11809638142585754,0.025465257465839386,0.28321224451065063,-0.4804692566394806,-0.16781413555145264,0.06543993204832077]"
1776857428.101627,499,"[-0.04806702584028244,0.014471642673015594,-0.9987393021583557,-0.02496492490172386,0.0426291786134243,0.044641654938459396,0.07052332907915115,-0.005566102918237448,0.039515748620033264,-0.009183988906443119,0.0007114927284419537,-0.005904324818402529,-0.03496246039867401,-0.0209068451076746,0.0026852828450500965,-0.028205128386616707,0.03041493520140648,-0.04321744292974472,0.001819496974349022,0.0,0.006105006206780672,0.012087912298738956,-0.037368644028902054,0.0696030706167221,-0.04432234540581703,0.13740462064743042,0.10992613434791565,-0.15687471628189087,0.5673747658729553,0.9771047830581665,0.7885979413986206,0.4782868027687073,0.4191007614135742,-0.11809638142585754,0.025465257465839386,0.28321224451065063,-0.4804692566394806,-0.16781413555145264,0.06543993204832077,0.0,0.0,0.0]","[-0.14886870980262756,0.5690401196479797,0.9648844003677368,0.7847812175750732,0.4570968747138977,0.409118115901947,-0.1173398494720459,0.01765713095664978,0.2572062909603119,-0.45225057005882263,-0.14062219858169556,0.060001589357852936]"
