time_s,step,observation,action_pre_scale
1776857418.340375,11,"[0.05207888036966324,-0.056594207882881165,-0.9970380067825317,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.0009627611143514514,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007480430416762829,0.004029304254800081,-0.07655677944421768,0.11684981733560562,-0.05238095298409462,-0.018315019086003304,-0.012210012413561344,-0.028205128386616707,-0.012087912298738956,0.036263737827539444,0.08461538702249527,0.0,0.02820052206516266,-0.288379967212677,0.7493768334388733,-1.0332577228546143,-1.519155740737915,-1.945440649986267,-0.4068436026573181,-0.1411668360233307,-1.484941005706787,-2.0186893939971924,-0.3434649109840393,-0.8154149651527405,-1.0440597534179688,0.0,0.0,0.0]","[-0.2817615568637848,0.7636286020278931,-1.0314463376998901,-1.5397863388061523,-1.9692462682724,-0.404942125082016,-0.13340476155281067,-1.4968531131744385,-2.036470651626587,-0.3291916847229004,-0.8030209541320801,-1.052652359008789]"
1776857418.361699,12,"[0.0522066205739975,-0.05670881271362305,-0.9970247745513916,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.0009627611143514514,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,0.004029304254800081,-0.012087912298738956,0.11684981733560562,-0.036263737827539444,-0.018315019086003304,-0.012210012413561344,0.012087912298738956,-0.012087912298738956,0.012087912298738956,-0.06043956056237221,-0.0073776934295892715,0.013482712209224701,-0.2817615568637848,0.7636286020278931,-1.0314463376998901,-1.5397863388061523,-1.9692462682724,-0.404942125082016,-0.13340476155281067,-1.4968531131744385,-2.036470651626587,-0.3291916847229004,-0.8030209541320801,-1.052652359008789,0.0,0.0,0.0]","[-0.2875218689441681,0.7567160129547119,-1.0399761199951172,-1.5445630550384521,-2.0095109939575195,-0.411494642496109,-0.14433853328227997,-1.4981675148010254,-2.034945249557495,-0.3266132175922394,-0.7681146264076233,-1.0515849590301514]"
1776857418.380712,13,"[0.05218484252691269,-0.05660253018140793,-0.9970322251319885,0.005340407602488995,-0.008774803951382637,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007096818648278713,0.012087912298738956,0.02976054698228836,-0.07655677944421768,0.12490842491388321,0.017017025500535965,-0.00129798986017704,-0.004029304254800081,-0.012087912298738956,-0.012087912298738956,0.028205128386616707,-0.01701703667640686,0.001297992654144764,-0.2875218689441681,0.7567160129547119,-1.0399761199951172,-1.5445630550384521,-2.0095109939575195,-0.411494642496109,-0.14433853328227997,-1.4981675148010254,-2.034945249557495,-0.3266132175922394,-0.7681146264076233,-1.0515849590301514,0.0,0.0,0.0]","[-0.2969668209552765,0.7510613203048706,-1.0461864471435547,-1.5210013389587402,-1.9805059432983398,-0.40640491247177124,-0.14823316037654877,-1.4954546689987183,-2.0276684761047363,-0.35176151990890503,-0.7771937847137451,-1.0442403554916382]"
1776857418.401690,14,"[0.05216148495674133,-0.05636225640773773,-0.9970470070838928,0.005340407602488995,-0.008774803951382637,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-0.0004393427225295454,-0.011274890042841434,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,-0.012087912298738956,0.012087912298738956,0.004029304254800081,-0.04432234540581703,0.006105006206780672,0.012210012413561344,-0.036263737827539444,-0.02970571629703045,-0.012087912298738956,0.004029304254800081,0.004779608454555273,0.02309461683034897,-0.2969668209552765,0.7510613203048706,-1.0461864471435547,-1.5210013389587402,-1.9805059432983398,-0.40640491247177124,-0.14823316037654877,-1.4954546689987183,-2.0276684761047363,-0.35176151990890503,-0.7771937847137451,-1.0442403554916382,0.0,0.0,0.0]","[-0.28852197527885437,0.7535499334335327,-1.0381138324737549,-1.5196442604064941,-1.9752784967422485,-0.40401604771614075,-0.13919082283973694,-1.4916964769363403,-2.0245211124420166,-0.35552990436553955,-0.7924973964691162,-1.0443968772888184]"
1776857418.420542,15,"[0.051989614963531494,-0.055894412100315094,-0.9970821738243103,0.005340407602488995,-0.008774803951382637,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,-0.028205128386616707,0.02014652080833912,-0.05238095298409462,0.0684981718659401,-0.006105006206780672,0.012210012413561344,0.02014652080833912,-0.050822772085666656,-0.012087912298738956,-0.012087912298738956,0.0,0.018315019086003304,-0.28852197527885437,0.7535499334335327,-1.0381138324737549,-1.5196442604064941,-1.9752784967422485,-0.40401604771614075,-0.13919082283973694,-1.4916964769363403,-2.0245211124420166,-0.35552990436553955,-0.7924973964691162,-1.0443968772888184,0.0,0.0,0.0]","[-0.29367783665657043,0.7497490644454956,-1.03867506980896,-1.5027953386306763,-1.9647666215896606,-0.40347009897232056,-0.14168335497379303,-1.4864434003829956,-2.0167789459228516,-0.3702002763748169,-0.8017277717590332,-1.041832447052002]"
1776857418.441215,16,"[0.05197615921497345,-0.0557757169008255,-0.9970895051956177,0.00572401937097311,-0.008774803951382637,0.004362414591014385,0.009145433083176613,0.02013588882982731,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.005178759805858135,0.007288624532520771,0.02965262532234192,-0.02014652080833912,0.05238095298409462,0.07655677944421768,0.018315019086003304,0.0,0.012087912298738956,0.02014652080833912,0.012087912298738956,-0.07655677944421768,-0.027821134775877,0.012210012413561344,-0.29367783665657043,0.7497490644454956,-1.03867506980896,-1.5027953386306763,-1.9647666215896606,-0.40347009897232056,-0.14168335497379303,-1.4864434003829956,-2.0167789459228516,-0.3702002763748169,-0.8017277717590332,-1.041832447052002,0.0,0.0,0.0]","[-0.2885117828845978,0.7486090064048767,-1.031111240386963,-1.5105363130569458,-1.9834330081939697,-0.4077947735786438,-0.14044372737407684,-1.484197974205017,-2.019577741622925,-0.3705354332923889,-0.8063068389892578,-1.0428969860076904]"
1776857418.461022,17,"[0.05195467919111252,-0.05566933751106262,-0.9970967769622803,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.0009627611143514514,-0.010334824211895466,-0.0004393427225295454,-0.011274890042841434,0.0030151077080518007,-0.005178759805858135,0.007288624532520771,0.0024136509746313095,-0.07817243039608002,0.004029304254800081,-0.012087912298738956,-0.0048371306620538235,-0.023152152076363564,-0.012087912298738956,-0.03787939250469208,-0.04432234540581703,0.037879396229982376,-0.018315019086003304,0.012210012413561344,-0.2885117828845978,0.7486090064048767,-1.031111240386963,-1.5105363130569458,-1.9834330081939697,-0.4077947735786438,-0.14044372737407684,-1.484197974205017,-2.019577741622925,-0.3705354332923889,-0.8063068389892578,-1.0428969860076904,0.0,0.0,0.0]","[-0.2863473892211914,0.7540469169616699,-1.032960295677185,-1.5062562227249146,-1.9713122844696045,-0.40324127674102783,-0.13764557242393494,-1.4825958013534546,-2.014397621154785,-0.3720828592777252,-0.8079147338867188,-1.0436036586761475]"
1776857418.484787,18,"[0.05194739252328873,-0.055675119161605835,-0.9970967769622803,0.00572401937097311,-0.008774803951382637,0.0047460258938372135,0.009145433083176613,0.019752277061343193,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007480430416762829,0.0377957746386528,0.04585438221693039,0.05391298234462738,-0.02014652080833912,0.0013096830807626247,0.004795325919985771,-0.004029304254800081,0.013619951903820038,-0.036263737827539444,-0.005561347585171461,0.02921534702181816,0.010900329798460007,-0.2863473892211914,0.7540469169616699,-1.032960295677185,-1.5062562227249146,-1.9713122844696045,-0.40324127674102783,-0.13764557242393494,-1.4825958013534546,-2.014397621154785,-0.3720828592777252,-0.8079147338867188,-1.0436036586761475,0.0,0.0,0.0]","[-0.2873796224594116,0.7409526705741882,-1.0316640138626099,-1.5145974159240723,-1.9789719581604004,-0.4057967960834503,-0.1423339694738388,-1.4797871112823486,-2.013231039047241,-0.35102367401123047,-0.8165255784988403,-1.032837986946106]"
1776857418.501606,19,"[0.051930367946624756,-0.05555930733680725,-0.9971040487289429,0.005340407602488995,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.019752277061343193,0.001154567115008831,-0.010334824211895466,-5.573089947574772e-05,-0.011274890042841434,0.0026314957067370415,-0.004986953921616077,0.007096818648278713,-0.01292363554239273,-0.029040850698947906,0.051545239984989166,0.10879120975732803,0.012210012413561344,0.018315019086003304,-0.012087912298738956,0.02014652080833912,0.06043956056237221,0.02014652080833912,0.012210012413561344,-0.00278932461515069,-0.2873796224594116,0.7409526705741882,-1.0316640138626099,-1.5145974159240723,-1.9789719581604004,-0.4057967960834503,-0.1423339694738388,-1.4797871112823486,-2.013231039047241,-0.35102367401123047,-0.8165255784988403,-1.032837986946106,0.0,0.0,0.0]","[-0.2859821915626526,0.7522909641265869,-1.0251199007034302,-1.5201523303985596,-1.9723585844039917,-0.4045504629611969,-0.13888801634311676,-1.48521089553833,-2.0257632732391357,-0.348178893327713,-0.8128513097763062,-1.0442497730255127]"
1776857418.521778,20,"[0.051940105855464935,-0.05568090081214905,-0.9970967769622803,0.00572401937097311,-0.009158415719866753,0.004362414591014385,0.009145433083176613,0.01994408294558525,0.001346372882835567,-0.010334824211895466,-5.573089947574772e-05,-0.010891278274357319,0.0026314957067370415,-0.004795147571712732,0.007288624532520771,0.030141454190015793,-0.02014652080833912,-0.02014652080833912,-0.02014652080833912,0.004997466690838337,0.011102469637989998,0.02014652080833912,0.05238095298409462,0.06237588822841644,-0.05238095298409462,-0.0011075274087488651,0.004997466690838337,-0.2859821915626526,0.7522909641265869,-1.0251199007034302,-1.5201523303985596,-1.9723585844039917,-0.4045504629611969,-0.13888801634311676,-1.48521089553833,-2.0257632732391357,-0.348178893327713,-0.8128513097763062,-1.0442497730255127,0.0,0.0,0.0]","[-0.2909168303012848,0.7476945519447327,-1.0394271612167358,-1.5276113748550415,-1.9780669212341309,-0.4107027053833008,-0.1463693529367447,-1.4896008968353271,-2.0315778255462646,-0.3408797085285187,-0.8169271945953369,-1.046115517616272]"
